title,price,vcpu,mem
t3.nano,597.3,2,0.5
t2.nano,667.6,1,0.5
t3.micro,1194.6,2,1.0
t2.micro,1335.2,1,1.0
t3.small,2389.2,2,2.0
t2.small,2670.3,1,2.0
t3.medium,4778.5,2,4.0
t2.medium,5340.7,2,4.0
t3.large,9557.0,2,8.0
t2.large,10681.3,2,8.0
m5.large,10892.2,2,8.0
t3.xlarge,19114.0,4,16.0
t2.xlarge,21362.7,4,16.0
m5.xlarge,21784.3,4,16.0
t3.2xlarge,38228.0,8,32.0
t2.2xlarge,42725.4,8,32.0
m5.2xlarge,43568.6,8,32.0
m5.4xlarge,87137.3,16,64.0
m5.8xlarge,174274.6,32,128.0
m5.12xlarge,261411.8,48,192.0
