title,price,vcpu,mem
t4g.nano,474.3,2,0.5
t3.nano,597.3,2,0.5
t4g.micro,948.7,2,1.0
t3.micro,1194.6,2,1.0
t4g.small,1897.3,2,2.0
t3.small,2389.2,2,2.0
a1.medium,2819.7,1,2.0
t4g.medium,3794.7,2,4.0
t3.medium,4778.5,2,4.0
a1.large,5639.3,2,4.0
t4g.large,7589.4,2,8.0
t3.large,9557.0,2,8.0
a1.xlarge,11278.7,4,8.0
t4g.xlarge,15178.8,4,16.0
t3.xlarge,19114.0,4,16.0
a1.2xlarge,22557.3,8,16.0
t4g.2xlarge,30357.5,8,32.0
t3.2xlarge,38228.0,8,32.0
a1.4xlarge,45114.6,16,32.0
a1.metal,45149.8,16,32.0
