title,price,vcpu,mem
t4g.nano,456.8,2,0.5
t3a.nano,518.3,2,0.5
t3.nano,571.0,2,0.5
t4g.micro,913.5,2,1.0
t3a.micro,1027.7,2,1.0
t3.micro,1141.9,2,1.0
t4g.small,1827.1,2,2.0
t3a.small,2055.5,2,2.0
t3.small,2283.8,2,2.0
t4g.medium,3654.1,2,4.0
t3a.medium,4110.9,2,4.0
t3.medium,4567.7,2,4.0
t4g.large,7308.3,2,8.0
t3a.large,8221.8,2,8.0
t3.large,9135.4,2,8.0
t4g.xlarge,14616.6,4,16.0
t3a.xlarge,16443.6,4,16.0
t3.xlarge,18270.7,4,16.0
t4g.2xlarge,29233.2,8,32.0
t3.2xlarge,36541.4,8,32.0
